ITEMë²ˆí˜¸	ITEM_NAME(K)	ITEM_TYPE	SUB_TYPE	SIZE	ANTI_FLAG	LIMIT_TYPE0	LIMIT_VALUE0	ADDON_VALUE2	VALUE0	VALUE1	VALUE2	VALUE3	VALUE4
1	µ·²Ù·¯¹Ì	ITEM_ELK	0	1	NONE	LIMIT_NONE	0	0	0	0	0	0	0
2	ÇÑ±¹¹«½Ö¹öÁ¯	ITEM_NONE	0	1	NONE	LIMIT_NONE	0	0	0	0	0	0	0
10	µµ+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	0	0	0	15	19	13	15
11	µµ+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	0	0	0	15	19	13	15
12	µµ+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	0	0	0	15	19	13	15
13	µµ+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	0	0	0	15	19	13	15
14	µµ+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	0	0	0	15	19	13	15
15	µµ+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	0	0	0	15	19	13	15
16	µµ+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	0	0	0	15	19	13	15
17	µµ+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	0	0	0	15	19	13	15
18	µµ+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	0	0	0	15	19	13	15
19	µµ+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	0	0	0	15	19	13	15
20	Àå°Ë+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	5	0	0	13	15	15	19
21	Àå°Ë+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	5	0	0	13	15	15	19
22	Àå°Ë+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	5	0	0	13	15	15	19
23	Àå°Ë+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	5	0	0	13	15	15	19
24	Àå°Ë+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	5	0	0	13	15	15	19
25	Àå°Ë+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	5	0	0	13	15	15	19
26	Àå°Ë+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	5	0	0	13	15	15	19
27	Àå°Ë+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	5	0	0	13	15	15	19
28	Àå°Ë+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	5	0	0	13	15	15	19
29	Àå°Ë+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	5	0	0	13	15	15	19
30	¿ùµµ+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	10	0	0	20	24	20	24
31	¿ùµµ+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	10	0	0	20	24	20	24
32	¿ùµµ+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	10	0	0	20	24	20	24
33	¿ùµµ+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	10	0	0	20	24	20	24
34	¿ùµµ+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	10	0	0	20	24	20	24
35	¿ùµµ+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	10	0	0	20	24	20	24
36	¿ùµµ+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	10	0	0	20	24	20	24
37	¿ùµµ+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	10	0	0	20	24	20	24
38	¿ùµµ+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	10	0	0	20	24	20	24
39	¿ùµµ+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	10	0	0	20	24	20	24
40	¼¼°Ë+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	15	0	0	25	35	22	26
41	¼¼°Ë+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	15	0	0	25	35	22	26
42	¼¼°Ë+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	15	0	0	25	35	22	26
43	¼¼°Ë+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	15	0	0	25	35	22	26
44	¼¼°Ë+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	LEVEL	15	0	0	25	35	22	26
